id,title,genre,date,key,title_imslp,composer_imslp,notes
1,Missa Sancti Hermanni,masses,1781,C major,,,
2,Missa Sancti Michaelis,masses,1804,C major,"Missa Sancti Michaelis, HV 2",,
3,Missa Sancti Ludovici,masses,1823,C major,,,
4,Missa Sancti Mauritii,masses,1825,C major,"Missa Sancti Mauritii, HerEy 4",,
5,Missa coronationis Ferdinandi,masses,1830,C major,,,
6,Missa Sancti Alberti,masses,1835,C major,,,
7,(Missa in C),masses,?,C major,"Missa in C major, HerEy 7",,
8,Missa Sancti Bennonis,masses,1797,C minor,,,
9,Missa Sancti Caroli,masses,1817,C minor,,,
10,Missa Sancti Joannis,masses,1828,C minor,,,
11,Missa Sancti Wolfgangi,masses,1800,D minor,"Missa Sancti Wolfgangi, HV 11",,
12,Missa Sancti Leopoldi,masses,1820,D minor,"Missa Sancti Leopoldi, HerEy 12",,
13,Missa Sancri Ignatii,masses,1816,E-flat major,,,
14,Missa Sanctae Andreae,masses,1821,E-flat major,,,
15,Missa Sanctorum Apostolorum,masses,1825,E-flat major,"Missa Sanctorum Apostolorum, HV 15",,
16,Missa Sancti Clementis,masses,1825,E major,,,
17,Missa Sancti Josephi/Rudolphi,masses,1807,F major,,,
18,Missa Sancti Maximiliani,masses,1819,F major,,,
19,Missa Sancti Rudolphi,masses,1826,F major,,,
20,Missa Sancti Raineri,masses,1829,F major,,,
21,Missa Sancti Sigismundi,masses,1836,F major,,,
22,Missa Sanctae Eleonorae,masses,1809,G major,,,
23,Missa Sancti Georgii,masses,1821,G major,,,
24,Missa Sanctae Sophiae,masses,1833,G major,,,
25,Missa pro Sabbato Sancto,masses,1837,G major,,,
26,Missa Sancti Ferdinandi,masses,1822,G minor,,,
27,Missa Sancti Thaddaei,masses,1835,A-flat major,,,
28,Missa Sanctae Elisabethae,masses,1818,A minor,,,
29,Missa Sanctae Theresiae,masses,1802,B-flat major,"Missa Sanctae Theresiae, HerEy 29",,
30,Missa Sancti Francisci,masses,1806,B-flat major,,,
31,Missa Sancti Theodori,masses,1820/21,B-flat major,,,
32,Missa Sancti Antonii,masses,1827,B-flat major,,,
33,Missa Sanctae Annae,masses,1831,B-flat major,,,
34,"Gloria, Et incarnatus",masses,?,D minor,,,"for Michael Haydn’s {{LinkWorkN|Missa tempore Quadragesima, MH 553||Haydn|Michael|0}}"
35,Kyrie ad Missam in coena Domini,masses,1837,G major,,,
36,"Sanctus, Benedictus, Credo",masses,1805,C major,,,
37,Requiem,requiems,1803,C minor,,,
38,Quem tuus amor ebriat,offertories,1797,C major,,,
