id,title,genre,date,key,title_imslp,notes,sources
1,Missa in honorem Sanctissimae Trinitatis,masses,1754,D major,"Missa in honorem Sanctissimae Trinitatis, MH 1",,
2,Missa,masses,c. 1754–1757,D minor,"Missa in D minor, MH 2/3",likely part of a single mass with MH 2,
3,Missa,masses,c. 1754–1757,D minor,"Missa in D minor, MH 2/3",likely part of a single mass with MH 2,
4,Alleluia lauda Jerusalem,motets,c. 1754–1757,C major,,fragment,
5,Divertimento,divertimentos,c. 1754–1757,D major,,,
6,Divertimento,divertimentos,c. 1754–1757,G major,,,
7,Divertimento,divertimentos,c. 1754–1757,E major,,,
8,Divertimento,divertimentos,c. 1754–1757,A major,,,
9,Divertimento,divertimentos,c. 1754–1757,E-flat major,"Divertimento in E-flat major, MH 9",,
10,Divertimento,divertimentos,c. 1754–1757,B-flat major,,,
11,Attale et Erimene,secular cantatas,c. 1754–1757,D major,"Attale et Erimene, MH 11",,
12,Missa sub titulo Sancti Michaelis,masses,c. 1758,C major,,,
13,Missa Sanctae Cyrilli et Methodii,masses,1758,C major,,,
14,Ave Regina,antiphons,c. 1759,A major,,,"A-MZ Ms. 258, A-SL no sig (600192574)"
15,Missa in honorem Beatissimae Virginis Mariae,masses,c. 1758–1760,C major,"Missa Beatissimae Virginis Mariae, MH 15",,
16,Missa in honorem Sancti Josephi,masses,c. 1758–1760,C major,,,
17,Missa in honorem Sancti Gabrielis,masses,c. 1758–1760,C major,"Missa Sancti Gabrielis, MH 17",Gloria and Credo added in 1768 (MH 112),
18,Missa,masses,c. 1758–1760,C major,,only parts for soprano concertanto and basso concertanto known,
19,Salve Regina,antiphons,c. 1758–1760,C major,,,A-SE MS 48
20,Salve Regina,antiphons,c. 1758–1760,B-flat major,,,A-SE MS 49/1
21,Salve Regina,antiphons,c. 1758–1760,B-flat major,,,A-SE MS 49/2
22,Regina coeli,antiphons,c. 1758–1760,C major,"Regina coeli, MH 22",,
23,Sinfonia,sinfonias,c. 1758–1760,C major,,,
24,Sinfonia,sinfonias,c. 1758–1760,D major,,,
25,Sinfonia,sinfonias,c. 1758–1760,F major,,,
